iteration   f   m2   rms   lambda   alpha
1 1.326233E+03 6.843503E-06 36.417383 1.000000E+03 5.019098E-02
2 7.417891E+02 6.724332E-03 27.112079 1.000000E+03 8.345159E-01
3 4.440927E+02 3.280042E-02 20.280343 1.000000E+03 7.038300E+00
4 3.622498E+02 7.045982E-02 17.081861 1.000000E+03 1.960682E+01
5 3.320625E+02 1.026395E-01 15.146716 1.000000E+03 2.406531E+01
6 3.213729E+02 1.208502E-01 14.160604 1.000000E+03 3.167560E+01
7 3.161310E+02 1.188702E-01 14.044956 1.000000E+03 3.468431E+01
8 3.126182E+02 1.221024E-01 13.802747 1.000000E+03 2.543073E+01
9 3.106787E+02 1.129525E-01 14.061516 1.000000E+03 3.054799E+01
10 3.099287E+02 1.121178E-01 14.064525 1.000000E+03 1.082374E+01
11 3.090854E+02 1.083087E-01 14.169572 1.000000E+03 2.376755E+01
12 3.082877E+02 1.094747E-01 14.100108 1.000000E+03 1.713523E+01
13 3.080054E+02 1.109242E-01 14.038563 1.000000E+03 8.796092E+00
14 3.075650E+02 1.076492E-01 14.139159 1.000000E+03 4.499406E+01
15 3.073655E+02 1.075180E-01 14.136744 1.000000E+03 1.463789E+01
16 3.071894E+02 1.103681E-01 14.029299 1.000000E+03 2.216966E+01
17 3.069542E+02 1.126851E-01 13.938044 1.000000E+03 3.783516E+01
18 3.067696E+02 1.126640E-01 13.932179 1.000000E+03 2.265954E+01
19 3.066368E+02 1.115684E-01 13.966689 1.000000E+03 1.425460E+01
20 3.065022E+02 1.103808E-01 14.004336 1.000000E+03 2.394925E+01
21 3.061852E+02 1.065011E-01 14.130959 1.000000E+03 6.165700E+01
22 3.059034E+02 1.063853E-01 14.125086 1.000000E+03 1.255090E+01
23 3.053623E+02 1.086285E-01 14.026181 1.000000E+03 1.670815E+01
24 3.050183E+02 1.122904E-01 13.882646 1.000000E+03 1.538100E+01
25 3.048047E+02 1.115882E-01 13.900232 1.000000E+03 2.115915E+01
26 3.046379E+02 1.105061E-01 13.933120 1.000000E+03 2.769005E+01
27 3.045656E+02 1.105686E-01 13.928283 1.000000E+03 9.058737E+00
28 3.045257E+02 1.099866E-01 13.947726 1.000000E+03 2.376143E+01
29 3.044930E+02 1.103272E-01 13.934337 1.000000E+03 1.620175E+01
30 3.044338E+02 1.109611E-01 13.909447 1.000000E+03 2.285049E+01
31 3.043645E+02 1.103494E-01 13.928933 1.000000E+03 3.394063E+01
32 3.043319E+02 1.100703E-01 13.937776 1.000000E+03 1.676404E+01
33 3.043147E+02 1.101847E-01 13.933051 1.000000E+03 1.841908E+01
34 3.042988E+02 1.108442E-01 13.908795 1.000000E+03 1.849871E+01
35 3.042775E+02 1.108675E-01 13.907194 1.000000E+03 3.778944E+01
36 3.042520E+02 1.104883E-01 13.919904 1.000000E+03 3.781167E+01
37 3.042380E+02 1.106076E-01 13.915114 1.000000E+03 1.818928E+01
38 3.042257E+02 1.108750E-01 13.905063 1.000000E+03 1.942722E+01
39 3.042043E+02 1.105903E-01 13.914525 1.000000E+03 2.939193E+01
